TICKER,PERMNO,NCUSIP,sdate,edate,SCORE
014N,91575,42704L10,2016-07-14,2023-12-29,1
01XJ,75844,67077M10,2018-01-18,2023-12-29,2
04QP,93338,G7997W10,2023-08-17,2023-12-29,1
AA1N,84606,29873610,2001-05-17,2023-12-29,1
AA2E,88790,04269X10,2001-05-17,2019-07-29,1
AA2H,87771,37247A10,2001-05-17,2015-02-02,1
AA2P,77208,09093110,2001-05-17,2020-12-01,1
AA2Q,80524,24982720,2001-05-17,2010-01-31,1
AA2Q,80524,24982750,2010-02-18,2017-02-23,1
AA2U,80517,14528210,2001-05-17,2013-10-31,1
AA2U,80517,07203T10,2013-11-14,2018-02-08,1
AA30,88615,97223210,2001-05-17,2005-06-30,1
AA30,88615,39153L10,2005-07-14,2016-06-30,1
AA30,88615,45826H10,2016-07-14,2023-12-29,1
AA3C,82251,05047310,2001-05-17,2018-01-30,1
AA3F,84725,19202510,2001-05-17,2023-12-29,1
AA3I,86573,31942S10,2001-05-17,2012-08-27,1
AA3O,83642,15140810,2001-05-17,2014-06-30,1
AA3O,83642,20786W10,2014-07-17,2023-12-29,1
AA3Z,85966,19623P10,2001-05-17,2023-12-29,1
AA4N,79864,91828410,2001-05-17,2023-12-29,1
AA4Q,86818,25264R10,2001-05-17,2001-09-25,1
AA4Q,86818,25264R20,2001-11-15,2021-02-25,1
AA4U,85176,23337740,2001-05-17,2023-12-29,1
AA51,85418,13303410,2001-05-17,2023-12-29,1
AA5G,79166,37386510,2001-05-17,2023-12-29,1
AAAD,89203,00762W10,2001-12-20,2017-11-17,1
AAAF,80795,02343610,2001-12-20,2023-12-29,1
AAON,76868,00036020,1994-02-17,2023-12-29,1
AAPS,89217,00751Y10,2002-01-17,2023-12-29,1
ABAX,77279,00256710,1992-03-19,2018-07-31,1
ABCB,80498,00040010,1994-12-15,2005-12-08,1
ABCB,80498,03076K10,2005-12-15,2023-12-29,1
ABD,75107,00365410,1988-11-17,2022-12-21,1
ABDW,90825,00081T10,2005-08-18,2023-12-29,1
ABFS,77595,04079010,1992-06-18,2014-04-30,1
ABFS,77595,03937C10,2014-05-15,2023-12-29,1
ABGG,89327,04343610,2002-04-18,2023-12-29,1
ABP1,76695,05010310,1991-09-19,1999-05-17,1
ABP1,76695,69840W10,1999-05-20,2017-07-17,1
ABTL,86763,05275N10,1999-05-20,2012-07-11,1
ABTL,86763,05275N20,2012-07-19,2017-10-08,1
ABTL,86763,05335B10,2017-10-19,2022-08-31,1
ABX,,,2003-09-18,2004-05-19,6
ABX,90716,00080S10,2005-05-09,2008-05-15,1
ABX,90716,00922R10,2008-06-19,2023-12-29,1
ABXF,71298,02451E10,1985-12-19,1995-01-17,1
ABXF,71298,06790110,1995-01-19,2023-12-29,1
ABZ1,78701,00291610,1998-02-19,2000-08-17,1
ABZ1,78701,00289310,2000-09-14,2007-11-18,1
ABZ1,78701,41587B10,2007-12-20,2013-03-26,2
ABZ1,78701,25728710,2013-04-18,2017-11-01,2
ACAD,85631,05276910,1986-01-16,2023-12-29,1
ACAS,85271,02493710,1998-01-15,2008-07-07,1
ACAS,85271,02503Y10,2008-07-17,2017-01-03,1
ACAS,,,2017-01-19,2018-12-31,6
ACAT,76207,03966510,1990-09-20,1996-08-19,1
ACAT,76207,03967010,1996-09-19,2017-03-06,1
ACBD,93188,13201A10,2009-12-17,2018-12-17,1
ACDI,90177,00422510,2004-06-17,2023-12-29,1
ACFC,90399,04842510,2004-12-16,2011-02-03,1
ACFC,90399,04842610,2011-02-17,2018-05-25,1
ACHN,91491,00448Q20,2006-10-26,2020-01-27,1
ACL1,79057,G0070K10,1993-06-17,2008-07-17,1
ACL1,79057,H0023R10,2008-08-14,2016-01-14,1
ACL1,79057,H1467J10,2016-02-18,2023-12-29,1
ACLS,88417,05454010,2000-08-17,2016-06-30,1
ACLS,88417,05454020,2016-07-14,2023-12-29,1
ACLY,84184,00430420,1996-12-19,2012-12-25,1
ACLY,84184,00430H10,2013-01-17,2023-07-11,1
ACLY,84184,00430H20,2023-07-20,2023-12-29,1
ACMG,91975,00766T10,2007-05-17,2023-12-29,1
ACNT,89071,G1150G11,2001-09-20,2009-08-31,1
ACNT,89071,G1151C10,2009-09-17,2023-12-29,1
ACNX,90274,00433710,2005-09-15,2019-01-31,1
ACRD,91086,00484M10,2006-02-16,2021-01-03,1
ACRD,91086,00484M60,2021-01-14,2023-06-04,1
ACRD,91086,00484M70,2023-06-15,2023-12-29,1
ACRI,83730,00388110,1998-05-14,2002-12-13,1
ACRI,89611,00388130,2004-11-18,2023-12-29,1
ACTE,91348,02081G10,2006-06-02,2016-08-24,1
ACTE,91348,02081G20,2016-09-15,2023-12-29,1
ACTU,86236,00508B10,1998-08-20,2015-01-15,1
ACXT,78117,00512310,1993-01-14,2000-05-21,1
ACXT,78117,38869010,2000-06-15,2003-08-08,1
